longitude,latitude,location,photo_id,county,year,description,url,preview
-75.900624,42.428669,approximate,AJ-25-53,Cortland,1936,Centered near Penelope in Willet (13863) in Cortland County New York.,http://stor.artstor.org/stor/4de1bbdf-3530-42be-aa49-bbd72c5e325c.jpg,http://stor.artstor.org/stor/4de1bbdf-3530-42be-aa49-bbd72c5e325c_size2
-75.900863,42.539988,approximate,AJ-25-41,Cortland,1936,Centered in Cincinnatus (13040) in Cortland County New York.,http://stor.artstor.org/stor/48c07647-08f2-408b-87b6-4a9c490c3ab5.jpg,http://stor.artstor.org/stor/48c07647-08f2-408b-87b6-4a9c490c3ab5_size2
-75.903247,42.446387,approximate,AJ-25-51,Cortland,1936,Centered in Willet (13863) in Cortland County New York.,http://stor.artstor.org/stor/98619104-fb01-457a-b119-b110f4d71c84.jpg,http://stor.artstor.org/stor/98619104-fb01-457a-b119-b110f4d71c84_size2
-75.903506,42.464475,approximate,AJ-25-49,Cortland,1936,Centered in Willet (13863) in Cortland County New York.,http://stor.artstor.org/stor/208d9608-1cb7-4823-8355-2a13cb31b7bd.jpg,http://stor.artstor.org/stor/208d9608-1cb7-4823-8355-2a13cb31b7bd_size2
-75.930212,42.767597,approximate,AJ-3-112,Cortland,1936,Centered near Cowles Settlement in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/00a6c39d-13c1-4326-9b89-909e4623aff0.jpg,http://stor.artstor.org/stor/00a6c39d-13c1-4326-9b89-909e4623aff0_size2
-75.931574,42.784364,approximate,AJ-3-114,Cortland,1936,Centered near Cowles Settlement in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/093f5b98-f6fc-447c-8deb-26978e2dc4fa.jpg,http://stor.artstor.org/stor/093f5b98-f6fc-447c-8deb-26978e2dc4fa_size2
-75.93024,42.72484,approximate,AJ-3-108,Cortland,1936,Centered near Guyler Hill in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/79b5a852-d33f-48a7-9d99-e19b3e6376b4.jpg,http://stor.artstor.org/stor/79b5a852-d33f-48a7-9d99-e19b3e6376b4_size2
-75.931246,42.702947,approximate,AJ-3-106,Cortland,1936,Centered near Guyler Hill in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/437642c7-b7b9-459b-a5e3-5dd802fcd4f4.jpg,http://stor.artstor.org/stor/437642c7-b7b9-459b-a5e3-5dd802fcd4f4_size2
-76.462675,42.289094,approximate,AJ-31-24,Tompkins,1936,Centered near South Danby in Ithaca (14850) in Tompkins County New York.,http://stor.artstor.org/stor/1944a27e-8711-44ca-972b-2952a3c0df35.jpg,http://stor.artstor.org/stor/1944a27e-8711-44ca-972b-2952a3c0df35_size2
-76.460479,42.27144,approximate,AJ-31-22,Tompkins,1936,Centered near Crum Town in Spencer (14883) in Tioga County New York.,http://stor.artstor.org/stor/c23242d7-3d45-4ed5-8ea5-262e3b919f9f.jpg,http://stor.artstor.org/stor/c23242d7-3d45-4ed5-8ea5-262e3b919f9f_size2
-75.934011,42.680089,approximate,AJ-3-104,Cortland,1936,Centered near New Boston in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/0bd558ec-7858-4eb8-9a5a-dec93ac2945b.jpg,http://stor.artstor.org/stor/0bd558ec-7858-4eb8-9a5a-dec93ac2945b_size2
-75.928349,42.74697,approximate,AJ-3-110,Cortland,1936,Centered near Cuyler in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/efe53f80-4507-4ea1-a887-1f83e7a56f59.jpg,http://stor.artstor.org/stor/efe53f80-4507-4ea1-a887-1f83e7a56f59_size2
-76.024488,42.721208,approximate,AJ-3-11,Cortland,1936,Centered in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/1c3fa04d-894e-469f-a940-490cc52e8793.jpg,http://stor.artstor.org/stor/1c3fa04d-894e-469f-a940-490cc52e8793_size2
-76.023046,42.76141,approximate,AJ-3-7,Cortland,1936,Centered near Keeney in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/2ddff923-b766-4f1f-bbb7-0043292c9321.jpg,http://stor.artstor.org/stor/2ddff923-b766-4f1f-bbb7-0043292c9321_size2
-75.959406,42.749197,approximate,AJ-3-77,Cortland,1936,Centered near Tripoli in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/3c579286-87ab-494b-9be0-801aa718af75.jpg,http://stor.artstor.org/stor/3c579286-87ab-494b-9be0-801aa718af75_size2
